Full Name,Division,Insurance Network
"John C Winters, MD",Infectious Disease,Clinically Integrated Network Member
"Anne S Wold, MD",Obstetrics & Gynecology / Reproductive Endocrinology and Infertility,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Sophia Wu, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Nina H Yoo, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Aya Ahram, DO",Dermatology,"DB Dermatology PLLC
Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Cigna (Medicare) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Oscar, UMR Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Kichiemon Asoma, MD",Ophthalmology,"Apple Ophthalmology, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Dhaval G Bhanusali, MD",Dermatology,"DB Dermatology PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"David L Chu, MD",Physical Medicine & Rehabilitation,"David Chu
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Naomi I Hayashi, MD",Ophthalmology,"Apple Ophthalmology, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Teru Hayashi, OD",Optometry,"Apple Ophthalmology, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Hee Jin Koh, MD",Dermatology,"DB Dermatology PLLC
UMR Top Tier
Clinically Integrated Network Member"
"Kiran S Mian, DO",Dermatology,"DB Dermatology PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Elliot Nadelson, MD",Urology,"Adam Nadelson MD PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Muneeb Shah, DO",Dermatology,"DB Dermatology PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Cesar Abuchaibe Carreno, MD","Endocrinology, Diabetes and Metabolism","Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Zainab Al-Ibraheemi, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie South Imaging for Women
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Marcella S Allen, MD",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Shyam Amin, MD",Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ranjit Arpels-Josiah, MD",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Gil I Ascunce, MD",Gastroenterology,"Gil I. Ascunce MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Cigna (Medicare) Clinical 
Integrated Network, Emblem (GHI Commerical) Clinical Integrated 
Network, Emblem (GHI Medicare) Clinical Integrated Network, 
Emblem (GHI Medicare) Clinical Integrated Network, Emblem (HIP 
Medicaid) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Emblem 
Health (HIP Commerical and Medicare) Clinical Integrated Network, 
Empire (Commercial/Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Humana (Medicare), Oscar, Oscar, UMR Top Tier, UMR 
Top Tier, United (Commercial) Clinical Integrated Network, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Graham G Ashmead, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie South Imaging for Women
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Luis Aybar, MD",Cardiology / Nuclear Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Albert Ayoub, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Gargi Bajpayee, MD",Internal Medicine,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Humana (Medicare), Oscar, Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Maria Basile, MD",Ophthalmology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Dina M Began, MD",Dermatology / Internal Medicine,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ksenija Belsley, MD",Plastic Surgery / General Surgery,"Ksenija Belsley MD, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Recaredo Berbano, MD","Endocrinology, Diabetes and Metabolism / Internal Medicine","Bethany Medical Clinic of New York, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Steven M Berman, MD",Urology,"Adv Urology Ctrs of NY - Manhattan
Centivo Comerical, Humana (Medicare), Oscar, Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Michael B Blechman, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Irene R Boniece, MD",Neurology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ira Breite, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Lois E Brustman, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie South Imaging for Women
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Adjoa A Bucknor, MD",Obstetrics & Gynecology,"Cohen Medical Practice, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Humana (Medicare), Oscar, Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
